总序号,性别,年龄,职业,学历,收入,玩家游戏情况,游戏进入,游戏偏好
2263,1,3,3,3,3,4,5,4
2264,NA,2,2,5,5,4,3,6
2265,2,4,4,4,3,2,4,2
2266,1,2,1,3,1,1,1,4
2267,2,NA,1,1,1,1,1,3
2268,1,2,5,2,2,2,3,5
2269,1,3,2,2,3,4,3,2
2270,1,2,1,5,4,2,2,6
2271,1,2,1,4,3,4,3,1
2272,1,5,2,4,3,2,3,1
2273,1,1,1,1,1,4,2,5
2274,2,1,7,3,3,1,2,1
2275,1,2,1,4,1,2,2,3
2276,1,4,5,4,2,2,3,3
2277,2,2,5,4,3,4,3,4
2278,1,3,2,4,3,2,2,3
2279,2,1,1,2,1,3,3,3
2280,1,3,5,2,3,2,2,4
2281,1,2,1,3,1,2,2,2
2282,1,1,1,1,1,2,3,1
2283,NA,2,1,3,1,4,5,1
2284,1,1,1,2,1,4,5,4
2285,1,2,1,5,1,1,3,2
2286,1,3,4,5,3,4,5,3
2287,2,1,1,1,1,3,1,4
2288,1,1,1,2,1,2,3,5
2289,2,2,7,3,1,1,1,3
2290,1,5,4,5,5,4,4,2
2291,1,3,6,3,3,2,2,5
2292,1,2,6,3,1,2,3,3
2293,2,2,2,3,3,4,1,6
2294,1,1,6,2,1,2,2,1
2295,2,1,1,2,1,4,1,3
2296,1,2,1,5,1,2,2,2
2297,2,4,4,4,4,4,3,4
2298,1,2,1,3,1,1,4,5
2299,NA,1,1,1,1,1,5,6
2300,1,1,1,1,1,4,1,4
2301,1,1,1,2,1,2,3,3
2302,NA,3,5,4,3,4,3,3
2303,1,NA,1,2,1,2,2,2
2304,1,2,6,1,1,4,3,6
2305,1,2,2,2,1,4,3,1
2306,1,2,1,3,1,3,5,5
2307,2,2,1,3,1,4,5,6
2308,2,2,5,3,3,3,3,3
2309,1,1,1,2,2,2,2,1
2310,1,1,1,1,NA,4,1,5
2311,1,1,1,1,1,2,5,5
2312,1,3,5,2,4,3,4,3
2313,2,2,1,4,1,4,1,3
2314,1,4,2,4,5,3,3,1
2315,2,1,1,2,2,1,5,6
2316,2,4,5,2,1,2,3,3
2317,1,3,5,5,4,4,3,3
2318,1,1,1,2,1,2,4,3
2319,2,1,1,1,1,4,3,1
2320,1,3,2,5,4,2,2,2
2321,1,2,1,3,1,2,3,5
2322,1,1,6,1,1,4,3,2
2323,NA,1,1,2,1,2,1,4
2324,2,1,1,1,1,1,3,5
2325,1,3,2,4,3,4,3,2
2326,1,5,3,3,3,4,5,5
2327,1,5,2,5,3,3,1,3
2328,1,5,2,5,4,2,3,1
2329,2,NA,2,3,4,2,3,3
2330,1,1,1,1,1,4,2,5
2331,2,1,1,1,1,2,3,2
2332,2,1,1,1,1,2,1,5
2333,2,1,1,3,1,3,3,2
2334,1,3,1,5,2,3,3,5
2335,1,3,2,4,4,3,2,3
2336,1,1,1,1,1,4,3,5
2337,NA,2,1,5,1,2,3,2
2338,1,2,2,3,1,2,3,3
2339,2,1,1,1,1,3,3,3
2340,1,2,2,3,3,3,4,3
2341,1,1,1,1,1,2,2,4
2342,1,1,1,1,1,4,3,5
2343,1,1,1,2,1,4,1,4
2344,2,1,4,3,1,1,2,2
2345,1,3,4,5,4,4,3,2
2346,2,3,2,4,3,4,1,3
2347,2,1,1,3,1,4,3,4
2348,2,4,5,3,1,2,1,2
2349,2,4,7,4,1,3,5,2
2350,1,1,7,1,1,4,1,2
2351,2,5,7,3,1,2,1,3
2352,1,1,1,1,1,4,3,5
2353,2,NA,1,1,1,2,3,5
2354,1,4,2,4,3,2,3,2
2355,2,3,7,3,1,2,3,1
2356,NA,2,1,4,2,2,1,5
2357,2,1,1,2,1,4,1,2
2358,1,1,1,2,NA,2,1,4
2359,1,1,1,2,1,4,3,4
2360,1,1,1,2,NA,3,5,5
2361,1,1,1,3,1,2,3,3
2362,2,2,1,3,1,2,3,3
2363,2,2,1,3,1,4,3,1
2364,2,1,7,1,1,4,5,4
2365,2,2,1,4,1,4,3,3
2366,2,3,1,5,3,4,1,5
2367,1,1,1,2,1,4,5,6
2368,2,4,2,3,2,4,1,1
2369,2,1,1,1,2,4,1,2
2370,1,2,4,5,5,2,5,6
2371,1,1,7,3,3,2,3,5
2372,1,1,1,1,1,1,5,5
2373,1,2,1,5,1,2,2,3
2374,1,1,1,1,2,2,2,3
2375,2,3,5,4,3,3,4,3
2376,NA,1,1,1,1,4,5,6
2377,1,4,7,1,1,2,5,3
2378,1,NA,1,1,1,4,2,5
2379,2,3,6,2,1,3,5,2
2380,1,1,1,1,2,2,2,1
2381,1,1,1,1,2,2,5,1
2382,2,1,1,1,1,1,1,2
2383,NA,2,1,3,1,1,1,3
2384,1,5,7,5,5,4,5,6
2385,NA,2,2,3,3,2,3,2
2386,2,3,2,5,4,4,1,5
2387,2,1,1,2,1,3,1,4
2388,2,1,1,2,1,4,3,3
2389,NA,3,2,5,4,3,3,2
2390,2,3,7,4,1,4,3,2
2391,1,2,1,5,1,4,2,3
2392,1,3,5,2,1,2,1,3
2393,1,2,1,5,2,2,3,3
2394,1,2,1,3,1,4,3,5
2395,2,1,1,2,1,2,1,1
2396,1,2,1,5,NA,4,2,1
2397,2,2,5,2,1,2,3,5
2398,1,2,1,3,1,2,3,5
2399,1,3,6,3,1,2,3,3
2400,2,2,1,5,1,4,1,4
2401,2,2,1,2,1,4,3,3
2402,1,2,1,4,1,2,3,3
2403,1,4,4,5,5,2,4,3
2404,1,2,2,3,3,4,3,5
2405,NA,2,1,3,1,3,3,3
2406,2,2,2,4,3,4,3,4
2407,2,1,1,3,1,1,3,3
2408,NA,2,1,5,1,2,3,3
2409,NA,4,7,2,2,4,3,3
2410,2,1,1,1,1,2,4,6
2411,1,NA,1,5,1,2,2,2
2412,1,1,1,2,1,2,3,4
2413,1,2,1,3,1,2,2,2
2414,1,3,1,2,3,2,3,1
2415,1,1,1,1,1,4,5,5
2416,1,1,1,1,1,2,3,3
2417,1,NA,1,2,NA,2,2,5
2418,1,1,1,2,1,3,3,2
2419,2,1,1,2,1,4,3,5
2420,1,3,3,3,5,4,3,2
2421,2,2,2,4,4,4,5,5
2422,2,3,6,3,1,1,5,2
2423,2,1,1,2,1,2,4,2
2424,1,1,1,1,1,1,1,2
2425,NA,2,1,5,1,2,3,5
2426,1,1,1,1,1,2,3,3
2427,1,2,1,3,1,2,3,4
2428,2,2,1,5,1,4,1,3
2429,2,1,1,1,1,2,1,1
2430,2,4,7,2,1,4,4,2
2431,1,2,1,2,1,4,1,2
2432,2,2,1,4,2,3,1,2
2433,1,2,1,3,1,3,3,6
2434,1,1,1,1,1,4,1,5
2435,1,2,1,5,5,1,1,5
2436,1,2,1,4,1,4,1,3
2437,1,3,2,2,4,1,1,2
2438,1,4,4,4,2,2,3,5
2439,2,5,7,1,5,1,1,1
2440,1,1,1,1,1,2,2,3
2441,1,1,1,5,1,4,3,5
2442,2,3,6,4,3,4,1,4
2443,2,NA,1,2,1,1,3,6
2444,1,1,1,2,1,2,5,5
2445,1,2,2,2,3,3,3,4
2446,1,2,3,2,NA,2,1,3
2447,1,1,1,2,1,4,3,5
2448,1,2,5,3,3,4,3,3
2449,1,1,1,1,1,4,3,4
2450,1,1,1,2,1,1,3,1
2451,1,2,1,3,1,2,4,4
2452,1,4,4,5,3,1,2,1
2453,2,2,7,3,1,2,1,3
2454,1,1,1,3,1,2,1,3
2455,1,2,1,5,3,4,1,3
2456,2,2,3,4,2,3,3,2
2457,1,3,2,5,5,1,2,5
2458,2,1,1,1,1,2,1,6
2459,1,1,1,3,1,4,5,6
2460,1,1,1,1,1,4,2,5
2461,2,2,1,5,1,4,1,3
2462,1,NA,2,3,4,2,3,2
2463,2,1,1,1,1,2,5,4
2464,NA,4,4,5,NA,3,5,3
2465,1,2,6,3,1,1,3,3
2466,2,4,5,5,3,2,1,5
2467,1,1,1,2,1,3,3,2
2468,2,1,1,1,1,2,1,2
2469,1,5,7,5,1,4,2,4
2470,1,5,2,4,3,2,3,4
2471,1,1,1,1,1,2,2,3
2472,1,4,5,4,5,2,4,3
2473,1,2,1,3,1,4,3,5
2474,1,2,5,3,3,2,2,3
2475,1,2,1,3,1,1,2,5
2476,1,1,1,1,1,2,5,2
2477,2,5,4,5,5,4,3,6
2478,NA,2,1,3,1,3,1,4
2479,2,1,1,1,1,1,1,5
2480,1,2,1,3,1,4,3,5
2481,2,1,1,1,1,4,3,5
2482,1,1,1,1,2,2,1,3
2483,2,1,1,1,1,2,3,1
2484,2,1,1,1,1,2,1,5
2485,2,NA,5,2,3,3,3,4
2486,1,1,1,2,1,2,1,1
2487,2,4,5,1,1,2,1,4
2488,2,3,5,2,1,4,3,3
2489,1,NA,1,1,1,4,1,5
2490,NA,3,2,5,5,3,1,4
2491,2,1,1,3,1,2,1,2
2492,1,1,1,2,1,2,4,3
2493,NA,2,1,5,1,4,1,1
2494,1,4,3,4,3,4,2,2
2495,NA,1,1,1,1,2,1,4
2496,NA,1,1,1,1,1,1,3
2497,2,3,5,3,2,2,4,2
2498,1,4,7,5,4,4,3,2
2499,1,1,1,2,1,2,2,2
2500,2,2,1,2,5,4,1,5
2501,1,1,1,2,1,4,1,5
2502,1,1,1,2,1,4,2,3
2503,1,1,1,2,1,1,4,6
2504,1,1,1,3,NA,2,2,1
2505,1,1,1,3,5,2,2,1
2506,1,2,1,4,1,1,1,3
2507,1,2,1,3,1,3,3,5
2508,1,3,4,5,3,3,2,3
2509,2,2,1,1,5,2,3,3
2510,2,2,7,3,5,3,3,4
2511,NA,1,1,2,1,2,3,2
2512,1,4,2,5,5,4,5,3
2513,2,1,1,2,1,2,3,1
2514,1,1,1,2,1,4,3,4
2515,1,1,1,3,1,2,3,2
2516,2,1,1,1,1,1,1,6
2517,2,2,1,5,1,2,1,1
2518,2,2,5,3,5,2,3,3
2519,2,2,1,3,1,2,1,3
2520,1,3,4,5,3,2,5,3
2521,1,2,2,3,4,4,5,6
2522,1,2,4,3,3,3,2,5
2523,1,1,1,2,1,2,3,3
2524,1,2,7,5,4,3,2,5
2525,NA,1,1,1,NA,1,5,3
2526,1,2,1,2,1,2,2,3
2527,1,3,4,5,NA,3,3,3
2528,2,1,7,2,1,1,1,1
2529,2,3,1,5,1,4,4,5
2530,1,2,1,3,1,2,1,1
2531,1,2,1,4,3,1,1,5
2532,1,1,1,5,1,2,1,3
2533,2,1,1,2,1,1,3,5
2534,1,1,1,3,3,3,1,2
2535,2,1,1,2,1,3,5,6
2536,1,1,1,2,1,2,3,1
2537,1,1,1,2,1,1,3,2
2538,1,NA,1,1,1,4,5,5
2539,1,1,1,2,1,2,5,1
2540,1,1,4,5,5,4,2,5
2541,2,3,3,5,5,1,3,2
2542,1,1,1,1,1,1,2,4
2543,1,5,5,1,1,2,4,2
2544,2,2,4,5,4,4,1,2
2545,1,1,1,2,1,2,3,5
2546,1,3,2,3,3,4,2,2
2547,2,3,6,2,1,1,5,2
2548,2,1,1,3,1,1,1,3
2549,1,2,1,4,1,3,4,2
2550,2,2,1,5,3,2,1,5
2551,NA,3,5,3,2,3,3,6
2552,2,1,1,1,1,2,1,3
2553,2,4,3,3,4,1,3,2
2554,1,1,1,2,1,2,3,4
2555,2,2,7,3,1,2,3,1
2556,2,2,1,5,1,1,3,5
2557,2,1,1,2,1,1,3,3
2558,2,1,1,2,2,4,3,4
2559,1,1,1,1,NA,1,2,1
2560,2,2,3,5,4,1,1,5
2561,2,1,1,5,1,2,1,3
2562,1,3,5,4,4,4,2,6
2563,2,2,1,5,5,2,5,3
2564,2,1,1,2,1,2,3,3
2565,1,4,5,3,3,3,3,1
2566,1,1,1,1,1,2,5,3
2567,NA,1,1,1,1,2,3,1
2568,1,2,2,4,3,2,2,1
2569,2,3,4,4,4,4,3,2
2570,NA,1,1,2,NA,3,3,2
2571,2,3,7,4,4,4,4,3
2572,1,1,1,2,1,2,3,6
2573,1,1,1,1,1,1,1,1
2574,2,5,4,5,5,1,3,6
2575,1,2,1,2,1,4,2,2
2576,2,1,1,1,1,2,1,3
2577,2,1,1,1,1,1,5,5
2578,2,2,2,5,4,2,3,1
2579,2,1,3,3,1,4,1,3
2580,2,2,1,4,1,4,5,3
2581,2,2,1,4,1,1,1,1
2582,1,2,1,3,1,4,3,5
2583,1,3,6,4,3,1,2,3
2584,1,2,1,2,3,4,3,3
2585,2,3,6,3,1,1,5,6
2586,1,4,2,2,3,3,2,4
2587,2,1,7,1,3,2,4,5
2588,1,2,1,3,1,4,2,3
2589,1,2,1,1,1,4,3,3
2590,1,2,2,4,3,2,3,2
2591,2,1,1,3,1,1,4,3
2592,1,1,1,1,1,3,1,3
2593,NA,1,1,1,1,4,1,4
2594,1,1,1,2,1,3,5,6
2595,2,2,1,5,1,3,5,5
2596,1,1,1,1,1,2,2,2
2597,1,2,5,2,3,4,5,5
2598,1,2,1,3,1,2,1,5
2599,1,2,5,4,3,2,1,4
2600,1,3,2,3,3,1,3,3
2601,1,2,7,4,3,4,3,4
2602,1,2,2,5,3,4,1,3
2603,2,4,2,5,3,4,3,3
2604,1,5,2,5,5,2,1,1
2605,1,1,1,1,1,4,4,1
2606,1,3,7,5,4,4,3,2
2607,1,2,1,3,1,4,3,4
2608,1,1,7,1,1,2,3,1
2609,2,1,1,3,1,1,1,2
2610,1,1,6,5,5,4,5,5
2611,1,1,1,2,1,3,2,2
2612,2,2,5,3,3,4,1,1
2613,1,2,1,3,1,2,1,5
2614,1,2,1,4,5,3,3,4
2615,1,1,1,2,1,4,2,5
2616,NA,3,4,5,3,2,1,1
2617,2,2,5,2,3,4,3,5
2618,1,1,1,2,2,4,1,2
2619,1,2,1,3,1,2,2,5
2620,1,2,1,3,1,2,4,2
2621,1,2,1,3,1,3,2,6
2622,1,1,1,2,1,2,2,5
2623,NA,1,1,2,1,4,1,4
2624,1,1,1,2,1,2,3,4
2625,1,1,1,1,2,2,3,2
2626,2,2,2,5,3,4,3,5
2627,1,1,1,1,1,4,1,3
2628,1,1,1,1,1,4,2,5
2629,1,2,2,2,NA,2,3,2
2630,1,1,5,3,3,2,3,5
2631,1,2,1,5,1,2,3,3
2632,1,1,1,2,1,2,2,4
2633,NA,3,2,5,4,4,3,2
2634,1,1,1,1,1,4,5,6
2635,2,1,1,3,1,4,4,5
2636,1,1,1,2,1,1,5,3
2637,2,2,1,3,NA,2,1,5
2638,1,2,1,4,2,3,2,3
2639,1,2,1,5,1,3,3,2
2640,2,2,1,3,1,1,1,5
2641,2,4,7,3,2,2,3,3
2642,2,NA,3,3,3,1,1,3
2643,1,4,3,2,NA,2,2,3
2644,1,3,1,5,1,3,3,3
2645,1,2,1,4,2,3,3,1
2646,1,2,1,5,1,3,3,5
2647,2,1,1,2,1,4,1,3
2648,2,2,1,4,1,1,5,6
2649,1,2,1,4,1,2,2,3
2650,1,4,2,3,3,3,3,2
2651,1,2,1,2,1,4,5,6
2652,2,2,4,5,5,1,5,5
2653,2,1,1,1,1,4,3,6
2654,1,1,1,2,1,4,3,5
2655,NA,4,5,2,4,3,1,1
2656,1,2,6,1,1,4,2,3
2657,1,1,1,1,1,1,5,3
2658,1,4,3,3,4,4,1,1
2659,1,NA,1,1,1,3,2,6
2660,2,1,1,1,1,4,4,2
2661,2,4,3,5,5,1,1,2
2662,NA,2,1,5,1,4,3,2
2663,1,1,1,1,2,2,3,5
2664,1,1,1,1,1,2,4,1
2665,1,1,1,1,1,2,2,3
2666,2,2,1,5,1,1,1,3
2667,1,1,1,1,1,2,2,2
2668,1,1,1,1,NA,4,1,3
2669,2,1,1,1,1,3,1,3
2670,1,3,2,5,4,1,1,3
2671,1,4,1,1,2,2,3,2
2672,1,4,4,3,4,2,3,5
2673,2,1,1,1,1,4,4,3
2674,2,3,5,4,1,1,1,1
2675,2,1,1,3,1,2,5,2
2676,1,2,6,5,1,4,5,5
2677,1,1,1,2,1,2,3,5
2678,2,2,2,3,3,2,3,3
2679,2,1,1,1,1,3,5,6
2680,NA,1,1,2,1,4,5,6
2681,2,4,2,3,3,2,1,1
2682,1,1,4,5,5,2,2,6
2683,2,4,2,2,3,3,3,5
2684,1,1,1,2,2,2,1,6
2685,1,NA,5,2,3,2,3,3
2686,2,3,2,4,4,2,4,2
2687,2,4,5,3,2,2,1,3
2688,2,2,1,3,1,2,1,5
2689,NA,3,2,5,4,4,3,1
2690,NA,1,1,2,4,2,2,1
2691,1,2,2,3,4,4,2,5
2692,1,2,1,2,1,4,1,5
2693,2,3,3,3,3,2,3,3
2694,1,4,5,2,5,2,2,1
2695,2,1,1,2,1,2,3,2
2696,1,3,4,4,4,4,1,3
2697,1,1,1,1,1,3,2,5
2698,1,2,1,3,2,4,4,1
2699,2,1,1,1,1,4,3,2
2700,1,3,4,5,3,3,1,3
2701,1,1,1,2,1,4,2,4
2702,1,1,1,1,1,2,5,3
2703,1,2,1,4,1,2,2,3
2704,1,1,6,1,5,2,1,5
2705,1,1,1,1,1,2,3,5
2706,1,4,5,2,4,2,2,3
2707,2,2,5,3,3,1,1,2
2708,1,2,1,3,1,4,3,2
2709,2,1,1,1,1,1,4,2
2710,1,1,1,2,1,4,5,5
2711,2,1,1,1,NA,2,3,4
2712,1,1,1,2,1,4,2,1
2713,1,4,5,2,3,2,4,1
2714,1,2,1,5,1,2,2,4
2715,1,1,1,2,1,4,5,1
2716,1,3,5,4,3,2,4,5
2717,2,2,1,3,1,1,3,2
2718,2,2,1,5,1,4,1,3
2719,2,1,1,2,1,3,1,6
2720,2,4,3,2,2,1,5,2
2721,1,2,1,4,1,2,3,4
2722,2,1,1,3,5,4,1,4
2723,1,1,1,2,NA,1,2,1
2724,1,3,2,4,5,4,5,6
2725,NA,1,1,2,1,2,3,4
2726,2,1,1,2,1,3,1,2
2727,1,4,5,2,2,2,3,3
2728,1,1,1,1,4,4,2,3
2729,1,1,1,1,1,4,2,5
2730,1,1,1,2,1,2,2,5
2731,2,2,7,3,3,3,3,3
2732,2,2,7,2,5,2,1,6
2733,1,1,1,1,1,2,3,5
2734,1,1,1,3,1,2,1,2
2735,NA,3,2,4,4,4,1,3
2736,1,NA,1,5,1,3,5,6
2737,1,2,1,2,3,3,3,1
2738,1,1,1,5,1,3,2,3
2739,1,2,1,4,1,4,3,4
2740,1,3,1,5,1,4,3,5
2741,2,5,2,5,1,2,1,4
2742,1,2,5,5,4,4,1,2
2743,1,1,1,1,NA,2,2,5
2744,1,1,1,1,2,3,5,5
2745,1,2,1,5,1,2,2,1
2746,2,2,1,5,1,4,3,3
2747,1,1,1,1,1,4,1,5
2748,1,2,1,3,1,4,5,4
2749,1,2,1,3,1,4,1,3
2750,1,NA,1,2,1,4,1,3
2751,1,1,1,3,1,2,4,3
2752,2,1,1,1,1,1,3,5
2753,1,1,1,2,5,4,2,1
2754,1,3,2,4,3,2,3,2
2755,1,3,3,3,4,3,3,3
2756,1,3,4,4,1,2,3,2
2757,2,2,1,5,1,4,4,3
2758,1,1,1,5,1,2,2,2
2759,2,4,5,3,3,2,3,2
2760,1,2,1,5,1,2,3,1
2761,1,4,2,5,NA,3,2,2
2762,1,1,1,1,1,4,4,5
2763,1,3,4,4,2,2,3,2
2764,1,3,5,5,3,4,3,4
2765,2,3,2,3,3,3,3,2
2766,1,1,1,2,1,4,3,3
2767,1,1,1,1,1,4,4,5
2768,1,2,1,5,1,3,2,3
2769,1,2,1,5,1,4,3,3
2770,1,NA,1,2,1,1,2,5
2771,2,5,6,5,2,4,3,2
2772,1,1,1,2,1,4,3,5
2773,2,2,1,3,1,3,3,5
2774,2,1,1,1,NA,2,1,5
2775,1,2,1,4,1,2,2,1
2776,2,NA,6,3,1,4,3,2
2777,1,1,1,1,1,3,2,2
2778,NA,2,1,3,1,3,3,5
2779,1,1,1,1,1,3,2,5
2780,1,4,2,5,4,2,1,3
2781,2,1,1,2,1,2,3,2
2782,1,3,5,3,1,1,5,2
2783,1,2,1,3,1,4,3,5
2784,1,5,3,4,NA,2,1,1
2785,2,1,5,5,4,3,2,4
2786,1,1,1,2,1,4,3,4
2787,2,NA,2,4,3,1,1,2
2788,1,1,1,3,3,3,2,2
2789,1,2,1,5,1,3,3,1
2790,2,2,2,5,1,4,1,5
2791,1,2,1,2,3,4,3,3
2792,2,2,7,2,1,2,3,3
2793,1,1,1,3,1,4,5,3
2794,2,3,5,3,3,2,1,2
2795,2,1,1,3,1,4,3,5
2796,2,1,1,1,1,1,5,1
2797,2,5,7,3,1,2,1,2
2798,1,3,3,3,2,2,3,3
2799,1,1,1,1,1,1,2,1
2800,2,1,1,3,1,2,1,4
2801,2,2,1,3,1,3,4,3
2802,2,3,2,5,5,2,1,3
2803,2,1,1,1,1,2,1,2
2804,1,2,1,4,1,4,2,3
2805,1,2,1,3,1,2,3,4
2806,1,2,1,2,1,2,5,5
2807,2,2,1,5,1,4,3,3
2808,2,2,7,2,NA,2,3,3
2809,1,2,1,5,1,4,3,3
2810,2,2,1,4,1,4,3,3
2811,2,3,2,3,2,4,3,2
2812,NA,NA,1,2,1,2,1,5
2813,2,1,7,1,1,4,3,6
2814,1,1,1,1,1,1,5,5
2815,1,1,1,2,1,2,5,5
2816,2,2,1,5,1,2,1,2
2817,1,1,1,1,2,3,3,5
2818,2,1,1,1,1,2,3,2
2819,1,1,1,2,2,4,2,3
2820,1,NA,1,1,1,2,2,2
2821,1,2,2,2,4,1,1,5
2822,2,2,2,4,3,4,3,3
2823,1,2,1,5,5,4,2,1
2824,1,NA,1,1,1,4,2,2
2825,1,1,1,2,1,4,2,5
2826,2,2,1,3,1,1,3,1
2827,2,4,7,1,1,1,3,2
2828,1,2,2,4,3,2,3,3
2829,2,2,1,3,1,1,4,2
2830,1,2,1,3,1,2,4,5
2831,1,2,2,3,NA,4,5,5
2832,1,2,1,5,NA,2,4,3
2833,1,2,1,5,2,2,2,1
2834,2,2,2,1,1,1,1,6
2835,1,2,2,4,3,4,3,4
2836,1,2,2,3,2,2,2,2
2837,1,3,7,3,1,3,1,3
2838,2,3,7,5,NA,2,5,3
2839,2,1,1,2,NA,4,3,3
2840,2,3,4,4,2,2,3,2
2841,1,1,1,3,1,1,2,5
2842,2,1,1,1,1,2,4,3
2843,2,3,2,4,3,2,1,2
2844,1,1,1,1,1,2,2,3
2845,2,1,1,2,1,3,3,2
2846,2,2,1,5,1,3,1,2
2847,2,1,1,1,1,4,1,3
2848,2,2,1,4,1,2,3,1
2849,2,1,1,1,1,3,3,2
2850,1,4,4,5,3,2,5,3
2851,2,3,7,5,5,4,5,6
2852,1,1,1,1,NA,2,2,5
2853,1,2,1,5,1,4,2,3
2854,2,1,1,3,1,2,1,2
2855,1,3,2,2,4,1,3,2
2856,1,2,1,1,1,2,1,2
2857,1,2,1,3,1,2,2,2
2858,1,3,2,5,NA,4,1,3
2859,1,1,1,1,1,2,2,1
2860,1,3,6,2,NA,2,5,3
2861,1,2,1,5,1,4,3,3
2862,1,3,4,4,4,1,1,2
2863,2,3,5,4,4,4,5,6
2864,2,1,1,1,1,1,1,3
2865,1,3,3,4,3,2,2,1
2866,2,3,6,2,1,1,5,6
2867,1,NA,6,1,1,2,1,5
2868,1,2,1,5,2,4,1,3
2869,1,2,7,2,3,4,2,5
2870,NA,1,1,1,1,1,3,2
2871,NA,1,1,2,1,2,3,1
2872,2,3,2,4,3,3,3,3
2873,1,1,1,4,5,2,2,2
2874,2,1,1,5,1,4,1,1
2875,1,4,3,5,5,4,3,2
2876,1,2,1,5,1,2,5,2
2877,2,1,1,2,1,1,3,3
2878,1,1,1,2,1,4,5,5
2879,1,1,1,1,2,4,2,3
2880,2,1,1,1,1,2,1,6
2881,2,1,7,1,1,4,3,3
2882,1,3,2,4,5,4,3,1
2883,2,1,1,1,1,4,5,3
2884,1,2,1,3,1,4,2,5
2885,1,3,3,3,1,2,3,2
2886,1,2,1,5,1,3,2,3
2887,1,3,2,5,3,2,3,1
2888,1,2,1,4,1,3,2,3
2889,1,3,7,5,4,4,5,2
2890,1,2,1,4,1,4,4,1
2891,1,3,6,2,1,4,1,1
2892,1,1,1,1,1,4,1,1
2893,1,3,3,2,4,3,3,5
2894,2,1,1,1,1,2,1,2
2895,1,1,1,2,1,2,3,5
2896,1,2,1,4,4,2,3,5
2897,1,2,1,3,1,2,3,3
2898,1,2,1,3,1,2,3,5
2899,2,1,1,2,1,3,1,3
2900,NA,NA,1,1,1,2,1,5
2901,1,3,7,4,4,4,3,2
2902,1,4,5,3,1,4,5,5
2903,1,2,1,3,1,4,5,3
2904,2,4,6,2,1,1,5,2
2905,1,2,1,3,1,3,2,5
2906,2,1,1,1,1,1,5,5
2907,NA,3,2,5,4,1,2,4
2908,2,2,1,3,1,1,3,3
2909,1,4,2,3,NA,2,3,2
2910,1,3,5,3,3,1,1,3
2911,2,5,7,3,NA,4,5,2
2912,2,2,6,3,1,1,1,2
2913,1,1,1,3,1,2,3,3
2914,1,3,1,5,1,3,2,1
2915,1,4,5,2,2,4,3,2
2916,2,1,7,1,1,2,3,3
2917,2,3,3,2,1,2,3,3
2918,1,1,1,2,1,2,2,6
2919,1,1,1,1,1,2,5,4
2920,2,3,5,3,2,3,3,2
2921,2,2,1,2,1,3,1,1
2922,1,1,1,1,1,2,3,1
2923,1,1,1,2,1,3,2,2
2924,1,4,5,2,4,1,2,2
2925,2,3,2,5,4,3,1,3
2926,1,3,2,3,3,4,3,2
2927,NA,2,2,5,5,1,5,1
2928,1,1,1,3,4,2,2,5
2929,2,2,1,3,1,2,3,3
2930,2,3,6,4,1,4,1,6
2931,2,1,1,1,1,2,1,3
2932,1,4,6,2,1,1,3,1
2933,1,2,1,3,3,2,1,2
2934,1,2,1,3,1,4,1,4
2935,1,1,1,1,1,1,2,2
2936,2,1,1,2,NA,2,1,3
2937,1,2,1,4,1,2,3,4
2938,NA,1,1,1,1,4,5,4
2939,1,1,1,1,2,2,5,2
2940,1,4,3,2,3,4,3,3
2941,2,2,1,5,1,3,3,3
2942,NA,3,3,5,4,1,5,4
2943,1,2,2,4,2,3,5,2
2944,1,3,5,4,3,2,3,5
2945,1,3,1,5,1,2,3,5
2946,2,2,1,3,1,1,3,3
2947,2,2,1,5,1,1,1,3
2948,1,2,1,5,1,2,5,3
2949,1,4,7,1,1,2,3,2
2950,1,3,7,2,4,2,2,3
2951,2,2,1,5,1,1,1,3
2952,1,3,2,2,4,2,3,3
2953,1,2,2,2,3,3,3,4
2954,1,1,1,3,3,4,2,5
2955,2,2,1,3,1,4,1,2
2956,2,1,1,1,1,4,1,4
2957,1,1,1,2,1,2,1,1
2958,2,2,1,4,4,4,1,2
2959,2,1,1,1,1,4,1,3
2960,1,3,4,4,3,3,1,3
2961,1,1,1,2,1,1,3,2
2962,NA,2,1,4,1,2,3,5
2963,2,2,1,5,1,1,3,4
2964,1,1,1,1,2,2,3,3
2965,1,NA,5,3,4,3,3,3
2966,1,1,1,2,1,2,2,3
2967,1,1,1,1,NA,4,2,5
2968,1,3,2,4,3,4,3,5
2969,1,1,7,1,1,4,5,6
2970,2,5,6,5,5,4,5,5
2971,1,1,1,1,1,2,4,2
2972,NA,1,1,1,1,3,1,5
2973,1,1,1,1,1,2,3,5
2974,NA,4,2,2,3,2,1,3
2975,1,4,5,4,5,2,4,3
2976,1,2,1,3,1,2,5,5
2977,1,1,1,2,1,2,2,1
2978,1,2,1,5,1,2,1,3
2979,1,2,1,5,1,1,4,1
2980,2,1,1,1,1,4,1,1
2981,1,3,5,2,4,2,3,3
2982,NA,1,1,1,1,1,1,5
2983,1,2,1,5,1,4,3,3
2984,1,1,7,2,1,4,5,5
2985,2,3,6,5,1,2,3,1
2986,1,1,1,2,1,4,2,2
2987,1,4,2,2,5,4,1,3
2988,1,1,1,1,1,2,4,3
2989,1,1,6,5,4,3,5,3
2990,2,NA,4,4,3,2,1,2
